counterparty,role,matched_station,province,amphur,lat,lon,score,needs_review,note
มังกรทอง,buy,มังกรทอง,สุรินทร์,ปราสาท,14.628931,103.409566,1.0,False,
มโนรมย์ธัญญกิจ,buy,โรงสีมโนรมย์ธัญญกิจ,ชัยนาท,มโนรมย์,15.370805,100.135337,1.0,False,
ราชสาส์นไรซ์,buy,ราชสาส์น ไรซ์ อินเตอร์เทรด,ฉะเชิงเทรา,ราชสาส์น,13.826332,101.257208,0.92,False,
ศิริพร,buy,ศิริพร,สระแก้ว,ตาพระยา,13.972563,102.7732,1.0,False,
สำเภาทอง,buy,สำเภาทอง,ฉะเชิงเทรา,บางน้ำเปรี้ยว,13.951537,100.974716,1.0,False,
อาภาภรณ์,buy,สะอาดฟาร์ม,ชลบุรี,บ้านบึง,13.337498,101.086772,0.56,True,จับคู่อัตโนมัติ ยังไม่ยืนยัน — รออัปเดต
อีสเทรินส์ไรซ์,buy,อีสเทิร์นไรซ์,กาฬสินธุ์,ยางตลาด,16.381243,103.221293,0.81,True,จับคู่อัตโนมัติ ยังไม่ยืนยัน — รออัปเดต
อ้อมข้าวดีด,buy,คุณอ้อ,เชียงใหม่,แม่ริม,18.840104,98.987617,0.92,False,
เกรียงชัย,buy,เกรียงชัยออยล์,ฉะเชิงเทรา,บางน้ำเปรี้ยว,13.825002,101.054713,0.92,False,
เบทาโกร ฉะเชิงเทรา,sell,เบฯฉะเชิงเทรา,ฉะเชิงเทรา,แปลงยาว,13.611022,101.317252,0.92,False,
เบทาโกร ปากช่อง,sell,เบทาโกรปากช่อง,นครราชสีมา,ปากช่อง,14.657479,101.404499,1.0,False,
เฮียธงชัย,buy,โกดัง เฮียธงชัย พนัสฯ,ชลบุรี,พนัสนิคม,13.40859,101.207764,0.92,False,
เฮียธงชัย พนัส,buy,โกดัง เฮียธงชัย พนัสฯ,ชลบุรี,พนัสนิคม,13.40859,101.207764,1.0,False,
เฮียโก๋ สินสมบูรณ์,buy,โรงสีสินสมบูรณ์( อุบล),อุบลราชธานี,เดชอุดม,14.839746,105.126237,0.74,True,จับคู่อัตโนมัติ ยังไม่ยืนยัน — รออัปเดต
แสงทองอาหารสัตว์,sell,แสงทองอาหารสัตว์ปทุม,ปทุมธานี,หนองเสือ,14.191729,100.813678,0.92,False,
โรงสี ช.สิริยี่สิบไพบูลย์,buy,ช.สิริยี่สิบไพบูลย์,ฉะเชิงเทรา,บางน้ำเปรี้ยว,13.935279,101.053657,1.0,False,
โรงสีกมลการเกษตร,buy,กมลการเกษตร,ขอนแก่น,บ้านไผ่,16.017139,102.819527,1.0,False,
โรงสีทวีชัย ปักธงชัย,buy,ทวีชัย,นครราชสีมา,ปักธงชัย,14.727908,102.01368,0.92,False,
โรงสีธนสมบัติหันคา,buy,ธนสมบัติ,ชัยนาท,หันคา,15.003258,100.0304,0.92,False,
โรงสีธนสรรค์ไรซ์,buy,ธนสรรไรซ์,ชัยนาท,มโนรมย์,15.278399,100.096635,0.9,False,
โรงสีนครหลวงชัยนาท,buy,นครหลวงชัยนาท,ชัยนาท,สรรพยา,15.18526,100.231937,1.0,False,
โรงสีพงศ์ไพโรจน์ พิจิตร,buy,พงษ์ไพโรจน์,พิจิตร,โพธิ์ประทับช้าง,16.274102,100.129039,0.83,True,จับคู่อัตโนมัติ ยังไม่ยืนยัน — รออัปเดต
โรงสีพูลธนา อุดรธานี,buy,ปั้ม สยาม LPG อุดรธานี,อุดรธานี,เมืองอุดรธานี,17.228137,102.909259,0.67,True,จับคู่อัตโนมัติ ยังไม่ยืนยัน — รออัปเดต
โรงสียี่สิบไพบูลย์,buy,โรงสี ยี่สิบไพบูลย์,ฉะเชิงเทรา,บางน้ำเปรี้ยว,13.916442,101.044173,1.0,False,
โรงสีวัจณสุรัตน์,buy,วัจณสุรัตน์ (โกดัง),ฉะเชิงเทรา,บางน้ำเปรี้ยว,13.84778,101.060878,0.92,False,
โรงสีวิจิตรธัญญา,buy,วิจิตรธัญญา,สมุทรปราการ,บางบ่อ,13.679605,100.905467,1.0,False,
โรงสีศรีกรุงลาดกระบัง,buy,โรงสี ศรีกรุง,กรุงเทพมหานคร,ลาดกระบัง,13.720905,100.800688,0.92,False,
โรงสีศรีแสงดาวเพิ่มพูน,buy,ศรีแสงดาวเพิ่มพูน,ร้อยเอ็ด,สุวรรณภูมิ,15.610271,103.824004,1.0,False,
โรงสีส.พงษ์เทพ,buy,ส.พงษ์เทพ,นครสวรรค์,ท่าตะโก,15.682637,100.468209,1.0,False,
โรงสีสหพัฒนา,buy,โรงสี สหพัฒนา พุธไทสง,บุรีรัมย์,พุทไธสง,15.546634,102.975588,0.92,False,
โรงสีสิงโตทอง,buy,สิงโตทองไรซ์,กำแพงเพชร,เมืองกำแพงเพชร,16.325731,99.638089,0.92,False,
โรงสีสิงโตทองไรซ์,buy,สิงโตทองไรซ์,กำแพงเพชร,เมืองกำแพงเพชร,16.325731,99.638089,1.0,False,
โรงสีสินอุดม,buy,โรงสี สินอุดม คลอง16,นครนายก,องครักษ์,13.985723,100.963525,0.92,False,
โรงสีสุขนิรันดร์,buy,โรงสี สุขนิรันดร์,ฉะเชิงเทรา,บางน้ำเปรี้ยว,13.839986,100.96635,1.0,False,
โรงสีหนองหลวงทวีกิจ,buy,โรงสี หนองหลวงทวีกิจ,นครสวรรค์,ท่าตะโก,15.534031,100.483994,1.0,False,
โรงสีหวังดี,buy,โรงสี หวังดี,นครสวรรค์,บรรพตพิสัย,16.059795,100.035098,1.0,False,
โรงสีห้วยกรดธัญญกิจ,buy,โรงสีห้วยกรด,ชัยนาท,สรรคบุรี,15.106042,100.212141,0.92,False,
โรงสีเกษตรโชคชัย,buy,โรงสีเกษตรโชคชัย,กรุงเทพมหานคร,หนองจอก,13.831619,100.9114,1.0,False,
โรงสีเจริญทรัพย์,buy,เจริญทรัพย์,จันทบุรี,เมืองจันทบุรี,12.640451,102.092102,1.0,False,
โรงสีเตียใจ้ฮง,buy,โรงสี เตียใจ้ฮง,ฉะเชิงเทรา,บางน้ำเปรี้ยว,13.851668,101.079903,1.0,False,
โรงสีเปี่ยมสิน,buy,เปี่ยมสิน1,สิงห์บุรี,บางระจัน,14.879805,100.302505,0.92,False,
โรงสีเสรีรุ่งเรือง,buy,เสรีรุ่งเรือง ร้อยเอ็ด,ร้อยเอ็ด,ทุ่งเขาหลวง,16.024982,103.84685,0.92,False,
โรงสีเอ อาร์ โคราช,buy,โกดังโคราช,นครราชสีมา,สูงเนิน,14.802261,101.89712,1.0,False,
โรงสีเอกไรช์ โคราช,sell,โกดังโคราช,นครราชสีมา,สูงเนิน,14.802261,101.89712,1.0,False,
โรงสีโชคนานานคร,buy,โชคนานานคร,นครสวรรค์,พยุหะคีรี,15.46899,100.159827,1.0,False,
โรงสีโตมี,buy,โรงสี โตมี,ศรีสะเกษ,ห้วยทับทัน,15.065197,104.051479,1.0,False,
ไทยฟูดส์กบินทร์,sell,ไทยฟูดล์   กบินทร์บุรี,ปราจีนบุรี,กบินทร์บุรี,13.961349,101.881916,0.94,False,
ไทยร่วมใจ,buy/sell,บจ.ไทยร่วมใจ,พระนครศรีอยุธยา,บางไทร,14.187889,100.476254,1.0,False,
ไทยร่วมใจโคราช,sell,ไทยร่วมใจโคราชขึ้นรำสกัด,นครราชสีมา,สีคิ้ว,15.050413,101.703579,1.0,False,
CP KB,sell,ซีพี กบินทร์บุรี,ปราจีนบุรี,กบินทร์บุรี,13.910389,101.655017,1.0,False,ยืนยัน (Knot): ซีพีกบินบุรี
